w,w,w,w,w,w,w,w,w,w,0,w,w,w,w,w,w,w,w,w,w,
w,3,0,2,0,2,0,2,0,2,4,2,0,2,0,2,0,2,0,3,w,
w,0,w,w,1,0,w,0,w,w,w,w,w,0,w,0,1,w,w,0,w,
w,2,0,2,w,2,0,2,0,2,0,2,0,2,0,2,w,2,0,2,w,
w,w,w,0,w,0,w,w,w,w,2,w,w,w,w,0,w,0,w,0,w,
w,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,w,2,w,
0,0,w,w,w,w,2,w,2,w,2,w,2,w,w,w,w,0,w,0,0,
w,3,0,2,0,w,0,w,0,2,4,2,0,2,0,2,0,4,w,2,w,
w,w,w,w,2,0,2,w,2,0,2,1,w,0,w,w,2,w,w,0,w,
w,2,4,2,0,2,0,w,0,w,w,1,0,2,0,w,0,2,0,3,w,
w,0,w,1,w,0,2,0,2,0,2,0,2,w,2,w,2,w,w,w,w,
0,2,1,1,1,2,w,w,w,2,w,w,w,w,0,w,0,2,0,2,0,
w,0,w,1,w,0,2,0,w,0,w,0,2,0,2,w,w,0,w,0,w,
w,2,0,2,0,2,w,2,0,s,0,2,w,w,0,s,0,2,w,2,w,
w,0,w,0,w,w,w,0,w,w,w,0,w,0,2,0,w,w,w,0,w,
w,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,w,
w,w,w,w,w,w,w,w,w,w,0,w,w,w,w,w,w,w,w,w,w,
